Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,85.0,5.2852941176471,449.25,2021-05-14
Skyy Peach BOMB,3367,75.0,3.36,252.0,2021-05-14
SHOT Cazadores Blanco,3481,65.0,3.6923076923077,240.0,2021-05-14
SHOT Seagrams VO,3325,61.0,2.3114754098361,141.0,2021-05-14
SHOT Tullamore Dew,3327,61.0,3.1475409836066,192.0,2021-05-14
Skyy Cherry BOMB,3370,56.0,3.4285714285714,192.0,2021-05-14
PINT Stein,3141,53.0,3.2641509433962,173.0,2021-05-14
SHOT Skyy,3663,50.0,3.0,150.0,2021-05-14
PIT Miller Lite,3143,47.0,11.0,517.0,2021-05-14
PINT Spotted Cow,3140,46.0,3.7173913043478,171.0,2021-05-14
PIT Spotted Cow,3145,42.0,15.0,630.0,2021-05-14
PIT Miller High Life,3142,42.0,11.0,462.0,2021-05-14
BTL Miller High Life,3122,42.0,2.0892857142857,87.75,2021-05-14
Skyy Orange BOMB,3372,39.0,3.7948717948718,148.0,2021-05-14
SHOT Fernet,3507,39.0,2.6666666666667,104.0,2021-05-14
PINT LKFT IPA,3136,37.0,3.8918918918919,144.0,2021-05-14
Skyy Raspberry BOMB,3369,35.0,3.5428571428571,124.0,2021-05-14
CAN Press Blk/Hyb,3130,33.0,5.0,165.0,2021-05-14
PINT Moon Man,3349,32.0,3.421875,109.5,2021-05-14
RAIL Vodka,3339,28.0,3.5,98.0,2021-05-14
CAN Press Pom/Gin,3131,28.0,5.0,140.0,2021-05-14
PINT Miller High Life,3137,28.0,3.0,84.0,2021-05-14
PINT Schlitz,3139,27.0,3.0,81.0,2021-05-14
PINT LKFT Hazy Rabbit,3348,25.0,3.9,97.5,2021-05-14
DBL Titos,3654,25.0,7.68,192.0,2021-05-14
CAN Press GF/CAR,3133,23.0,5.0,115.0,2021-05-14
DBL RAIL Gin,3453,22.0,4.3863636363636,96.5,2021-05-14
CAN PBR 16oz,3129,21.0,3.4285714285714,72.0,2021-05-14
CAN Coors Light,3116,20.0,3.0,60.0,2021-05-14
DBL Jack Daniels,3526,19.0,7.5789473684211,144.0,2021-05-14
SHOT Campari,3549,19.0,1.8947368421053,36.0,2021-05-14
CAN Press Lime,3132,18.0,5.0,90.0,2021-05-14
SHOT Rumpleminz,3242,17.0,3.7647058823529,64.0,2021-05-14
HH PINT Angry Orchard,3352,17.0,3.7058823529412,63.0,2021-05-14
PINT Beer of the Week,3356,17.0,2.6470588235294,45.0,2021-05-14
BTL Miller Lite,3391,17.0,1.9117647058824,32.5,2021-05-14
DBL RAIL Tequila,3461,17.0,4.9705882352941,84.5,2021-05-14
DBL Cazadores Blanco,3480,16.0,6.625,106.0,2021-05-14
SHOT Jameson,3317,15.0,3.4666666666667,52.0,2021-05-14
PIT LKFT Hazy Rabbit,3359,14.0,15.0,210.0,2021-05-14
DBL RAIL Whiskey,3459,13.0,5.3461538461538,69.5,2021-05-14
SHOT Jack Daniels,3527,12.0,3.6666666666667,44.0,2021-05-14
SHOT of the WEEK,3254,12.0,3.0,36.0,2021-05-14
RAIL Gin,3341,11.0,3.5,38.5,2021-05-14
DBL Captain Morgan,3496,11.0,8.0,88.0,2021-05-14
 SHOT Crown Royal,3529,11.0,4.0,44.0,2021-05-14
SHOT Gran Marnier,3547,11.0,5.0,55.0,2021-05-14
DBL Skyy Raspb,3668,11.0,5.7272727272727,63.0,2021-05-14
HH PINT LKFT Oktoberfest,3697,10.0,4.05,40.5,2021-05-14
VBALL LITE,3410,10.0,0.0,0.0,2021-05-14
VBALL HI-LIFE,3411,10.0,0.0,0.0,2021-05-14
OUTSIDE,3253,9.0,0.0,0.0,2021-05-14
DBL Seagrams 7,3594,9.0,7.0,63.0,2021-05-14
SHOT Fireball,3584,9.0,3.1111111111111,28.0,2021-05-14
DBL Makers Mark,3534,8.0,8.375,67.0,2021-05-14
DBL RAIL Rum,3457,8.0,5.3125,42.5,2021-05-14
Absolut,3286,8.0,7.625,61.0,2021-05-14
VBALL SPOT COW,3415,8.0,4.0,32.0,2021-05-14
PIT Moon Man,3357,7.0,15.0,105.0,2021-05-14
BTL Corona,3117,7.0,4.5,31.5,2021-05-14
SHOT Skyy Peach,3665,7.0,1.2857142857143,9.0,2021-05-14
SHOT Skyy Orange,3677,6.0,2.5,15.0,2021-05-14
SHOT Jose Cuervo,3475,6.0,2.0,12.0,2021-05-14
DBL Korbel,3452,6.0,6.6666666666667,40.0,2021-05-14
BTL Bud Light,3114,6.0,4.5,27.0,2021-05-14
SHOT Goldschlager,3230,6.0,4.0,24.0,2021-05-14
PIT Stein,3146,6.0,15.0,90.0,2021-05-14
PIT LKFT IPA,3358,6.0,15.0,90.0,2021-05-14
Skyy Raspberry,3302,6.0,4.0,24.0,2021-05-14
Skyy Apricot BOMB,3368,6.0,4.0,24.0,2021-05-14
DBL Bulleit Bourbon,3587,5.0,8.0,40.0,2021-05-14
SHOT Bulleit Rye,3590,5.0,4.0,20.0,2021-05-14
SHOT Skyy Raspb,3669,4.0,2.25,9.0,2021-05-14
PIT LKFT Oktoberfest,3691,4.0,15.0,60.0,2021-05-14
SHOT RAIL GIN,3454,4.0,3.0,12.0,2021-05-14
DBL Bombay Sapphire,3486,4.0,8.0,32.0,2021-05-14
DBL Crown Royal,3528,3.0,8.0,24.0,2021-05-14
SHOT RAIL Tequila,3462,3.0,3.0,9.0,2021-05-14
DBL Jose Cuervo,3474,3.0,6.0,18.0,2021-05-14
DBL Kesslers,3710,3.0,6.0,18.0,2021-05-14
DBL D.E. Grapefruit,3713,3.0,4.6666666666667,14.0,2021-05-14
DBL Skyy,3662,3.0,9.0,27.0,2021-05-14
DBL Bulleit Rye,3589,3.0,8.0,24.0,2021-05-14
SHOT Pimms,3557,3.0,3.0,9.0,2021-05-14
PIT Angry Orchard,3361,3.0,15.0,45.0,2021-05-14
VBALL MOON MAN,3414,3.0,4.0,12.0,2021-05-14
Jack Daniels,3315,3.0,5.0,15.0,2021-05-14
Moscow Mule,3207,3.0,7.0,21.0,2021-05-14
Bloody Mary,3199,3.0,7.0,21.0,2021-05-14
Bacardi,3255,3.0,4.0,12.0,2021-05-14
PIT Schlitz,3144,3.0,7.3333333333333,22.0,2021-05-14
SHOT Jagermeister,3234,2.0,4.0,8.0,2021-05-14
DBL of the WEEK,3251,2.0,5.0,10.0,2021-05-14
Long Island,3204,2.0,8.0,16.0,2021-05-14
Korbel,3191,2.0,4.0,8.0,2021-05-14
RAIL Whiskey,3340,2.0,4.5,9.0,2021-05-14
DBL Peach Schn.,3574,2.0,6.0,12.0,2021-05-14
DBL Pimms,3556,2.0,7.0,14.0,2021-05-14
SHOT Skyy Ginger,3673,2.0,0.0,0.0,2021-05-14
DBL J. Walker Black,3605,2.0,11.0,22.0,2021-05-14
DBl Smirnoff,3646,2.0,6.0,12.0,2021-05-14
3rd Space Frog Weiss,3717,2.0,5.0,10.0,2021-05-14
SHOT RAIL Whiskey,3460,2.0,3.0,6.0,2021-05-14
SHOT RAIL Vodka,3456,2.0,3.0,6.0,2021-05-14
DBL Hennessey,3449,2.0,12.0,24.0,2021-05-14
VBALL HAZY RABBIT,3418,2.0,4.0,8.0,2021-05-14
VBALL Angry Orchard,3422,1.0,4.0,4.0,2021-05-14
DBL Cazadores Reposado,3478,1.0,7.0,7.0,2021-05-14
DBL Coconut Jack,3498,1.0,6.0,6.0,2021-05-14
DBL Kraken,3500,1.0,8.0,8.0,2021-05-14
DBL Fernet,3506,1.0,10.0,10.0,2021-05-14
DBL Jameson,3538,1.0,8.0,8.0,2021-05-14
SHOT Jim Beam,3531,1.0,4.0,4.0,2021-05-14
DBL Hendricks Gin,3485,1.0,0.0,0.0,2021-05-14
BTL Hop Refresher,3703,1.0,4.5,4.5,2021-05-14
SHOT D.E. Grapefruit,3715,1.0,3.0,3.0,2021-05-14
D.E. GF BOMB,3716,1.0,4.0,4.0,2021-05-14
DBL Absolut Citron,3656,1.0,8.0,8.0,2021-05-14
SHOT Absolut,3661,1.0,4.0,4.0,2021-05-14
DBL Skyy Orange,3676,1.0,7.0,7.0,2021-05-14
DBL Aperol,3581,1.0,7.0,7.0,2021-05-14
SHOT Bulleit Bourbon,3588,1.0,4.0,4.0,2021-05-14
Chardonnay,3331,1.0,5.0,5.0,2021-05-14
Titos,3307,1.0,5.0,5.0,2021-05-14
RAIL Tequila,3344,1.0,3.5,3.5,2021-05-14
VBALL STEIN,3416,1.0,4.0,4.0,2021-05-14
VBALL Beer of the Week,3413,1.0,0.0,0.0,2021-05-14
PINT Guinness,3350,1.0,5.0,5.0,2021-05-14
Skyy Ginger BOMB,3371,1.0,4.0,4.0,2021-05-14
Black Russian,3195,1.0,5.0,5.0,2021-05-14
Blind Russian,3196,1.0,6.0,6.0,2021-05-14
Cazadores Blanco,3280,1.0,5.0,5.0,2021-05-14
Cazadores Reposado,3281,1.0,5.0,5.0,2021-05-14
CAN Schlitz 16oz,3134,1.0,4.0,4.0,2021-05-14
BTL LH Milk Stout,3119,1.0,6.0,6.0,2021-05-14
BTL Modelo Especial,3124,1.0,4.5,4.5,2021-05-14
