Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
SHOT Tullamore Dew,3327,78.0,3.2820512820513,256.0,2021-03-05
DBL RAIL Vodka,3455,51.0,4.9852941176471,254.25,2021-03-05
BTL Miller High Life,3122,48.0,3.25,156.0,2021-03-05
SHOT Seagrams VO,3325,44.0,2.5909090909091,114.0,2021-03-05
PINT Spotted Cow,3140,42.0,3.6071428571429,151.5,2021-03-05
PINT Moon Man,3349,39.0,3.0384615384615,118.5,2021-03-05
CAN PBR 16oz,3129,34.0,3.8823529411765,132.0,2021-03-05
PINT LKFT IPA,3136,33.0,3.4090909090909,112.5,2021-03-05
Skyy Orange BOMB,3372,30.0,3.6,108.0,2021-03-05
RAIL Vodka,3339,21.0,3.5,73.5,2021-03-05
PINT Stein,3141,21.0,3.3571428571429,70.5,2021-03-05
DBL RAIL Whiskey,3459,18.0,4.4444444444444,80.0,2021-03-05
DBL Captain Morgan,3496,17.0,8.3529411764706,142.0,2021-03-05
SHOT Fireball,3584,16.0,3.0,48.0,2021-03-05
Skyy Raspberry BOMB,3369,16.0,2.5,40.0,2021-03-05
Skyy Cherry BOMB,3370,16.0,3.0,48.0,2021-03-05
PINT Miller High Life,3137,16.0,3.0,48.0,2021-03-05
SHOT Jameson,3317,16.0,3.25,52.0,2021-03-05
CAN Press Pom/Gin,3131,14.0,5.0,70.0,2021-03-05
PINT LKFT Hazy Rabbit,3348,14.0,3.75,52.5,2021-03-05
Skyy Peach BOMB,3367,13.0,2.4615384615385,32.0,2021-03-05
DBL RAIL Tequila,3461,13.0,4.9615384615385,64.5,2021-03-05
SHOT Fernet,3507,13.0,2.1538461538462,28.0,2021-03-05
SHOT Captain Morgan,3497,12.0,4.0,48.0,2021-03-05
SHOT Cazadores Blanco,3481,12.0,3.3333333333333,40.0,2021-03-05
CAN Press GF/CAR,3133,12.0,5.0,60.0,2021-03-05
SHOT Bulleit Rye,3590,11.0,4.0,44.0,2021-03-05
DBL Jack Daniels,3526,10.0,8.0,80.0,2021-03-05
DBL RAIL Gin,3453,10.0,4.1,41.0,2021-03-05
PINT Beer of the Week,3356,9.0,2.6666666666667,24.0,2021-03-05
DBL RAIL Rum,3457,9.0,5.1666666666667,46.5,2021-03-05
SHOT Skyy Peach,3665,9.0,2.3333333333333,21.0,2021-03-05
DBL Skyy Raspb,3668,8.0,6.125,49.0,2021-03-05
SHOT Jack Daniels,3527,7.0,3.4285714285714,24.0,2021-03-05
BTL Miller Lite,3391,7.0,2.7857142857143,19.5,2021-03-05
CAN Coors Light,3116,7.0,3.4285714285714,24.0,2021-03-05
BTL Bud Light,3114,6.0,4.5,27.0,2021-03-05
 SHOT Crown Royal,3529,6.0,4.0,24.0,2021-03-05
DBL Skyy,3662,6.0,7.0,42.0,2021-03-05
HH PINT LKFT Oktoberfest,3697,6.0,3.25,19.5,2021-03-05
SHOT Goldschlager,3230,5.0,4.0,20.0,2021-03-05
PINT Schlitz,3139,4.0,3.0,12.0,2021-03-05
BTL Corona,3117,4.0,4.5,18.0,2021-03-05
PIT Miller High Life,3142,4.0,11.0,44.0,2021-03-05
DBL RAIL Brandy,3448,4.0,4.75,19.0,2021-03-05
SHOT Jose Cuervo,3475,4.0,3.0,12.0,2021-03-05
DBL Bulleit Rye,3589,4.0,8.0,32.0,2021-03-05
SHOT Skyy Raspb,3669,4.0,1.5,6.0,2021-03-05
DBL South. Comfort,3596,3.0,8.0,24.0,2021-03-05
SHOT RAIL Tequila,3462,3.0,3.0,9.0,2021-03-05
DBL Makers Mark,3534,3.0,8.0,24.0,2021-03-05
BTL Budweiser,3115,3.0,4.5,13.5,2021-03-05
SHOT Rumpleminz,3242,3.0,4.0,12.0,2021-03-05
SHOT Jager Bomb,3274,2.0,5.0,10.0,2021-03-05
Jack Daniels,3315,2.0,5.0,10.0,2021-03-05
Makers Mark,3322,2.0,5.0,10.0,2021-03-05
RAIL Whiskey,3340,2.0,3.5,7.0,2021-03-05
RAIL Gin,3341,2.0,3.5,7.0,2021-03-05
HH PINT Angry Orchard,3352,2.0,3.75,7.5,2021-03-05
BTL MGD,3121,2.0,3.25,6.5,2021-03-05
PIT Miller Lite,3143,2.0,11.0,22.0,2021-03-05
Bloody Mary,3199,2.0,7.0,14.0,2021-03-05
Long Island,3204,2.0,4.0,8.0,2021-03-05
White Russian,3215,2.0,5.0,10.0,2021-03-05
DBL Seagrams VO,3578,2.0,7.0,14.0,2021-03-05
DBL Bulleit Bourbon,3587,2.0,8.0,16.0,2021-03-05
DBL Jim Beam,3530,2.0,7.0,14.0,2021-03-05
BTL Hop Refresher,3703,2.0,4.5,9.0,2021-03-05
House White,3698,1.0,4.0,4.0,2021-03-05
House Red,3699,1.0,4.0,4.0,2021-03-05
DBL Skyy Orange,3676,1.0,0.0,0.0,2021-03-05
SHOT Skyy Orange,3677,1.0,3.0,3.0,2021-03-05
DBL Jack D Honey,3532,1.0,8.0,8.0,2021-03-05
DBL Bacardi,3492,1.0,6.0,6.0,2021-03-05
SHOT Bacardi,3493,1.0,3.0,3.0,2021-03-05
DBL Meyers Dark,3504,1.0,6.0,6.0,2021-03-05
DBL Tullamore Dew,3536,1.0,0.0,0.0,2021-03-05
SHOT Baileys Irish,3541,1.0,4.0,4.0,2021-03-05
SHOT Campari,3549,1.0,0.0,0.0,2021-03-05
SHOT Patron XO,3477,1.0,4.0,4.0,2021-03-05
SHOT RAIL Whiskey,3460,1.0,3.0,3.0,2021-03-05
SHOT RAIL Vodka,3456,1.0,3.0,3.0,2021-03-05
SHOT Dr McGullicuddys,3226,1.0,3.0,3.0,2021-03-05
PIT Schlitz,3144,1.0,11.0,11.0,2021-03-05
BTL Modelo Especial,3124,1.0,4.5,4.5,2021-03-05
BTL Blue Moon,3113,1.0,4.5,4.5,2021-03-05
SHOT Jagermeister,3234,1.0,4.0,4.0,2021-03-05
