Michael 30,The Tracks Tavern and Grill,09/27/2021 13:08:49
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,118.0000,5.2372881355932,618
Skyy Cherry BOMB,3370,,108.0000,3,324
SHOT Seagrams VO,3325,,93.0000,2.0322580645161,189
SHOT Tullamore Dew,3327,,69.0000,3.2463768115942,224
SHOT Fernet,3507,,62.0000,3.2903225806452,204
PINT Spotted Cow,3140,,61.0000,4.1803278688525,255
BTL Miller High Life,3122,,57.0000,2.9078947368421,165.75
PINT Miller High Life,3137,,54.0000,2.9444444444444,159
GRILLED CHEESE,2734,,52.0000,3,156
PINT Stein,3141,,50.0000,3.96,198
PINT LKFT IPA,3136,,49.0000,3.8571428571429,189
SHOT Cazadores Blanco,3481,,47.0000,3.7446808510638,176
DBL Captain Morgan,3496,,44.0000,7.8181818181818,344
Glass Water,3162,,44.0000,0,0
CAN Press Blk/Hyb,3130,,42.0000,4.7619047619048,200
Skyy Peach BOMB,3367,,41.0000,3.5121951219512,144
PINT Schlitz,3139,,34.0000,3,102
CAN Coors Light,3116,,32.0000,3.75,120
Cheese Curds,2728,,30.0000,7.5,225
PIT Miller High Life,3142,,29.0000,11,319
SHOT Skyy,3663,,29.0000,3,87
PINT Moon Man,3349,,28.0000,3.375,94.5
DBL RAIL Gin,3453,,26.0000,4.6538461538462,121
CAN PBR 16oz,3129,,25.0000,4,100
All American Burger,2840,,23.0000,7.2608695652174,167
Sriracha Strips,2730,,22.0000,8.0227272727273,176.5
FISH FRY,2722,,22.0000,10.659090909091,234.5
BTL Miller Lite,3391,,22.0000,2.3636363636364,52
RAIL Vodka,3339,,19.0000,3.7105263157895,70.5
PINT LKFT Hazy Rabbit,3348,,19.0000,3.3157894736842,63
RIVERWEST BURGER,2714,,19.0000,10.473684210526,199
French Fries,2731,,19.0000,2.0263157894737,38.5
BTL Corona,3117,,19.0000,4.5,85.5
CAN Press Pom/Gin,3131,,19.0000,5,95
Locust St. Wings HALF,2858,,18.0000,7.1666666666667,129
DBL RAIL Whiskey,3459,,18.0000,5.4166666666667,97.5
PIT Miller Lite,3143,,17.0000,11,187
PIT Schlitz,3144,,17.0000,10.352941176471,176
DBL RAIL Rum,3457,,15.0000,5,75
SHOT Jameson,3317,,15.0000,2.4,36
PINT Angry Orchard,3352,,14.0000,4.0714285714286,57
Skyy Raspberry BOMB,3369,,14.0000,3.1428571428571,44
VBALL HI-LIFE,3411,,14.0000,0,0
SHOT Jagermeister,3234,,13.0000,3.3846153846154,44
DBL Titos,3654,,13.0000,8.0769230769231,105
Patty Melt,3705,,13.0000,9,117
Buffalo Chicken Sammy,3707,,13.0000,8.3461538461538,108.5
Tracks Big Boy,3704,,12.0000,10.479166666667,125.75
DBL Skyy Raspb,3668,,11.0000,6.5454545454545,72
PIT LKFT Hazy Rabbit,3359,,11.0000,15,165
DBL Hennessey,3449,,11.0000,11.545454545455,127
DBL Jack Daniels,3526,,11.0000,8,88
Plain Chicken Strips,2867,,11.0000,7.3636363636364,81
CHEESE burger,2841,,10.0000,5.35,53.5
Locust St Wings FULL,2729,,10.0000,15.1,151
Chili Cheese Poutine,2801,,10.0000,7.05,70.5
PIT Spotted Cow,3145,,10.0000,15,150
BTL Modelo Especial,3124,,10.0000,4.55,45.5
PINT Miller Lite,3138,,9.0000,3,27
CAN Press GF/CAR,3133,,9.0000,5,45
Skyy Orange BOMB,3372,,9.0000,3.5555555555556,32
SHOT Rumpleminz,3242,,9.0000,4,36
Coke,3154,,8.0000,1.5,12
