Michael 30,The Tracks Tavern and Grill,09/27/2021 13:01:54
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,47.0000,4.7925531914894,225.25
SHOT Tullamore Dew,3327,,42.0000,3.8095238095238,160
SHOT Seagrams VO,3325,,41.0000,1.6829268292683,69
CAN PBR 16oz,3129,,35.0000,4,140
PINT Spotted Cow,3140,,33.0000,4.4545454545455,147
BTL Miller High Life,3122,,27.0000,3.0092592592593,81.25
PINT Moon Man,3349,,25.0000,2.64,66
SHOT RAIL Vodka,3456,,25.0000,1.92,48
DBL Skyy Raspb,3668,,24.0000,7,168
Skyy Peach BOMB,3367,,21.0000,4,84
PINT Stein,3141,,19.0000,3.3947368421053,64.5
SHOT Skyy Raspb,3669,,16.0000,0.75,12
SHOT Makers Mark,3535,,14.0000,4,56
RAIL Vodka,3339,,14.0000,3.5,49
CAN Press Pom/Gin,3131,,13.0000,4.6153846153846,60
Cheese Curds,2728,,13.0000,8.0384615384615,104.5
DBL Jack Daniels,3526,,13.0000,8,104
Skyy Cherry BOMB,3370,,12.0000,0.33333333333333,4
COMBO FRY,2736,,12.0000,13.666666666667,164
RIVERWEST BURGER,2714,,11.0000,10.568181818182,116.25
FISH FRY,2722,,11.0000,10.636363636364,117
CAN Press Blk/Hyb,3130,,11.0000,5,55
SHOT Jameson,3317,,11.0000,4,44
DBL RAIL Tequila,3461,,11.0000,5.5,60.5
Glass Water,3162,,10.0000,0,0
Locust St. Wings HALF,2858,,10.0000,6.05,60.5
GRILLED CHEESE,2734,,10.0000,3,30
Locust St Wings FULL,2729,,9.0000,9.2222222222222,83
PINT LKFT Hazy Rabbit,3348,,9.0000,3.8333333333333,34.5
SHOT Skyy Peach,3665,,9.0000,2.3333333333333,21
PINT LKFT Oktoberfest,3697,,8.0000,3,24
Skyy Ginger BOMB,3371,,8.0000,2,16
Skyy Orange BOMB,3372,,8.0000,4,32
Skyy Raspberry BOMB,3369,,8.0000,1.5,12
DBL Cazadores Blanco,3480,,8.0000,7.5,60
SHOT Jagermeister,3234,,8.0000,5.5,44
CAN Press GF/CAR,3133,,8.0000,5,40
PINT LKFT IPA,3136,,8.0000,3.75,30
PC Pollack,2800,,8.0000,2.3125,18.5
3 PART COMBO,2831,,7.0000,16.061428571429,112.43
French Fries,2731,,7.0000,1.8571428571429,13
SHOT Cazadores Blanco,3481,,7.0000,2.8571428571429,20
DBL RAIL Whiskey,3459,,7.0000,5.0714285714286,35.5
PINT Beer of the Week,3356,,7.0000,3,21
BTL Miller Lite,3391,,7.0000,2.3214285714286,16.25
SHOT Jack Daniels,3527,,7.0000,2.2857142857143,16
DBL Korbel,3452,,6.0000,6,36
DBL RAIL Gin,3453,,6.0000,4.5833333333333,27.5
Buffalo Chicken Sammy,3707,,6.0000,6.23,37.38
Nashville Hot Chicken,3706,,5.0000,9.1,45.5
Tracks Big Boy,3704,,5.0000,10,50
House White,3698,,5.0000,3.2,16
PIT LKFT IPA,3358,,5.0000,15,75
SHOT Captain Morgan,3497,,5.0000,4,20
DBL Bulleit Bourbon,3587,,5.0000,8,40
Chili Cheese Poutine,2801,,5.0000,5.6,28
All American Burger,2840,,5.0000,7.1,35.5
Perch FRY,2830,,5.0000,13.49,67.45
BTL Bud Light,3114,,4.0000,4.5,18
Sriracha Strips,2730,,4.0000,8,32
Bowl SOUP,2713,,4.0000,4,16
CAN Schlitz 16oz,3134,,4.0000,4,16
Soda/Juice,3183,,4.0000,1.5,6
Bloody Mary,3199,,4.0000,7.25,29
Coke,3154,,4.0000,1.5,6
PINT Angry Orchard,3352,,4.0000,3.375,13.5
SHOT Bulleit Rye,3590,,4.0000,4,16
SHOT Skyy Orange,3677,,3.0000,3,9
Patty Melt,3705,,3.0000,8,24
BTL Hop Refresher,3703,,3.0000,4.5,13.5
SHOT Bulleit Bourbon,3588,,3.0000,4,12
White Russian,3215,,3.0000,5,15
Cocktail of the Week,3250,,3.0000,1.3333333333333,4
Makers Mark,3322,,3.0000,5,15
Coffee,3153,,3.0000,1.5,4.5
PINT Miller High Life,3137,,3.0000,3,9
PIT Miller High Life,3142,,3.0000,11,33
Tater Tots,2836,,3.0000,2,6
BTL Corona,3117,,3.0000,4.5,13.5
CHEESE burger,2841,,3.0000,7.6666666666667,23
BTL Blue Moon,3113,,2.0000,4.5,9
Plain Chicken Strips,2867,,2.0000,8,16
Cup SOUP,2872,,2.0000,2.5,5
BTL MGD,3121,,2.0000,3.25,6.5
CAN Coors Light,3116,,2.0000,0,0
BTL Modelo Especial,3124,,2.0000,4.5,9
House Salad SM,2837,,2.0000,3.5,7
Chix Caeser Wrap,2838,,2.0000,9.5,19
Bowl CHILI,2696,,2.0000,4,8
PIT Miller Lite,3143,,2.0000,11,22
SHOT of the WEEK,3254,,2.0000,1.5,3
Captain Morgan,3258,,2.0000,5,10
DBL Fireball,3583,,2.0000,8,16
SHOT RAIL Tequila,3462,,2.0000,3,6
DBL Jim Beam,3530,,2.0000,7,14
DBL RAIL Brandy,3448,,2.0000,5.25,10.5
House Red,3699,,2.0000,4,8
DBL Seagrams 7,3594,,2.0000,7,14
DBl Smirnoff,3646,,2.0000,6,12
SHOT Skyy,3663,,1.0000,3,3
DBL Bombay Sapphire,3486,,1.0000,8,8
DBL Tanqueray,3488,,1.0000,8,8
SHOT Jim Beam,3531,,1.0000,0,0
DBL Makers Mark,3534,,1.0000,8,8
DBL Crown Royal,3528,,1.0000,8,8
SHOT Jose Cuervo,3475,,1.0000,3,3
SHOT Fernet,3507,,1.0000,4,4
Tullamore Dew,3537,,1.0000,5,5
DBL Jameson,3538,,1.0000,8,8
DBL Kahlua,3542,,1.0000,8,8
SHOT Gran Marnier,3547,,1.0000,5,5
Jack Daniels,3315,,1.0000,5,5
Gran Marnier,3231,,1.0000,6,6
Diet Coke,3158,,1.0000,1.5,1.5
HH PINT Guinness,3350,,1.0000,5,5
PIT Stein,3146,,1.0000,15,15
CAN Ginger Ale,3150,,1.0000,1.5,1.5
Irish Coffee,3202,,1.0000,7,7
Long Island,3204,,1.0000,0,0
Moscow Mule,3207,,1.0000,7,7
Orange JC,3173,,1.0000,1.5,1.5
Red Bull,3175,,1.0000,3.5,3.5
Root Beer,3178,,1.0000,1.5,1.5
SIDE RANCH,2815,,1.0000,0.25,0.25
SIDE LG NACHO CHEESE,2816,,1.0000,1.5,1.5
BTL Spaten Lager,3127,,1.0000,5,5
Cup Chili,2873,,1.0000,2.5,2.5
SIDE Garlic Parm,2877,,1.0000,0.75,0.75
