Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
PINT Spotted Cow,3140,64.0,3.9375,252.0,2021-01-08
DBL RAIL Vodka,3455,37.0,4.9459459459459,183.0,2021-01-08
BTL Miller High Life,3122,31.0,3.25,100.75,2021-01-08
PINT Stein,3141,29.0,3.5172413793103,102.0,2021-01-08
SHOT Seagrams VO,3325,26.0,2.4230769230769,63.0,2021-01-08
CAN PBR 16oz,3129,24.0,4.0,96.0,2021-01-08
PINT Moon Man,3349,21.0,2.4285714285714,51.0,2021-01-08
SHOT Jameson,3317,20.0,2.2,44.0,2021-01-08
Locust St. Wings HALF,2858,19.0,5.9210526315789,112.5,2021-01-08
SHOT Skyy Peach,3665,19.0,1.1052631578947,21.0,2021-01-08
Skyy Cherry BOMB,3370,18.0,2.6666666666667,48.0,2021-01-08
GRILLED CHEESE,2734,17.0,3.0,51.0,2021-01-08
SHOT Rumpleminz,3242,17.0,2.8235294117647,48.0,2021-01-08
PC Pollack,2800,16.0,2.3125,37.0,2021-01-08
RIVERWEST BURGER,2714,16.0,11.09375,177.5,2021-01-08
Cheese Curds,2728,15.0,7.5666666666667,113.5,2021-01-08
Locust St Wings FULL,2729,15.0,11.233333333333,168.5,2021-01-08
PINT LKFT IPA,3136,14.0,3.9642857142857,55.5,2021-01-08
All American Burger,2840,13.0,7.4038461538462,96.25,2021-01-08
Perch FRY,2830,12.0,13.281666666667,159.38,2021-01-08
Skyy Peach BOMB,3367,12.0,3.3333333333333,40.0,2021-01-08
Skyy Raspberry BOMB,3369,12.0,4.0,48.0,2021-01-08
 SHOT Crown Royal,3529,12.0,3.3333333333333,40.0,2021-01-08
SHOT Tullamore Dew,3327,11.0,3.6363636363636,40.0,2021-01-08
CHEESE burger,2841,11.0,8.1363636363636,89.5,2021-01-08
Glass Water,3162,11.0,0.0,0.0,2021-01-08
French Fries,2731,10.0,2.05,20.5,2021-01-08
FISH FRY,2722,10.0,10.65,106.5,2021-01-08
DBL Jack Daniels,3526,10.0,6.4,64.0,2021-01-08
DBL RAIL Whiskey,3459,10.0,3.9,39.0,2021-01-08
DBL RAIL Tequila,3461,10.0,4.8,48.0,2021-01-08
RAIL Vodka,3339,9.0,3.5,31.5,2021-01-08
Buffalo Chicken Sammy,3707,9.0,6.6166666666667,59.55,2021-01-08
COMBO FRY,2736,9.0,13.611111111111,122.5,2021-01-08
3 PART COMBO,2831,8.0,16.3025,130.42,2021-01-08
DBL Jim Beam,3530,8.0,7.0,56.0,2021-01-08
SHOT Bulleit Rye,3590,8.0,4.0,32.0,2021-01-08
SHOT RAIL Vodka,3456,8.0,3.0,24.0,2021-01-08
DBL Jose Cuervo,3474,7.0,6.0,42.0,2021-01-08
SHOT Cazadores Reposado,3479,7.0,3.4285714285714,24.0,2021-01-08
DBL Skyy Raspb,3668,7.0,6.0,42.0,2021-01-08
Tracks Big Boy,3704,7.0,10.142857142857,71.0,2021-01-08
Sriracha Strips,2730,7.0,7.4285714285714,52.0,2021-01-08
BTL Blue Moon,3113,7.0,4.5,31.5,2021-01-08
Chili Cheese Poutine,2801,6.0,7.0833333333333,42.5,2021-01-08
BTL Budweiser,3115,6.0,4.5,27.0,2021-01-08
SHOT Campari,3549,6.0,3.0,18.0,2021-01-08
DBL Tullamore Dew,3536,6.0,6.6666666666667,40.0,2021-01-08
SHOT Cazadores Blanco,3481,6.0,4.0,24.0,2021-01-08
Skyy Apricot BOMB,3368,6.0,1.3333333333333,8.0,2021-01-08
PINT LKFT Hazy Rabbit,3348,6.0,3.0,18.0,2021-01-08
DBL RAIL Brandy,3448,6.0,5.3333333333333,32.0,2021-01-08
Skyy Orange BOMB,3372,5.0,2.4,12.0,2021-01-08
DBL Seagrams 7,3594,5.0,7.0,35.0,2021-01-08
CAN Coors Light,3116,5.0,2.4,12.0,2021-01-08
Bowl SOUP,2713,5.0,4.0,20.0,2021-01-08
PINT Miller High Life,3137,5.0,3.0,15.0,2021-01-08
Coke,3154,5.0,1.5,7.5,2021-01-08
Moscow Mule,3207,5.0,7.0,35.0,2021-01-08
SHOT Dr McGullicuddys,3226,4.0,3.0,12.0,2021-01-08
Soda/Juice,3183,4.0,1.5,6.0,2021-01-08
CAN Press Pom/Gin,3131,4.0,5.0,20.0,2021-01-08
Bowl CHILI,2696,4.0,4.0,16.0,2021-01-08
BTL Corona,3117,4.0,4.5,18.0,2021-01-08
Plain Chicken Strips,2867,4.0,8.0,32.0,2021-01-08
PC Perch,2869,4.0,1.0,4.0,2021-01-08
SIDE LG NACHO CHEESE,2816,4.0,1.5,6.0,2021-01-08
SHOT Jim Beam,3531,4.0,1.0,4.0,2021-01-08
House Red,3699,4.0,4.0,16.0,2021-01-08
Nashville Hot Chicken,3706,4.0,9.25,37.0,2021-01-08
SHOT Captain Morgan,3497,4.0,4.0,16.0,2021-01-08
DBL Hendricks Gin,3485,3.0,9.0,27.0,2021-01-08
SHOT Jack Daniels,3527,3.0,4.0,12.0,2021-01-08
SHOT Fernet,3507,3.0,4.0,12.0,2021-01-08
DBL RAIL Rum,3457,3.0,4.0,12.0,2021-01-08
BTL Miller Lite,3391,3.0,2.1666666666667,6.5,2021-01-08
DBL RAIL Gin,3453,3.0,5.0,15.0,2021-01-08
Diet Coke,3158,3.0,1.5,4.5,2021-01-08
PINT Angry Orchard,3352,3.0,3.0,9.0,2021-01-08
DBL Titos,3654,3.0,8.0,24.0,2021-01-08
DBL Jameson,3538,3.0,8.0,24.0,2021-01-08
DBL Gran Marnier,3546,3.0,10.0,30.0,2021-01-08
Chix Caeser Wrap,2838,3.0,7.96,23.88,2021-01-08
