Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,198.0,5.2436868686869,1038.25,2019-09-27
Skyy Orange BOMB,3372,151.0,2.4635761589404,372.0,2019-09-27
SHOT Tullamore Dew,3327,118.0,2.4067796610169,284.0,2019-09-27
Skyy Ginger BOMB,3371,113.0,2.2300884955752,252.0,2019-09-27
Skyy Raspberry BOMB,3369,101.0,2.2574257425743,228.0,2019-09-27
Glass Water,3162,71.0,0.0,0.0,2019-09-27
PINT LKFT IPA,3136,70.0,3.7928571428571,265.5,2019-09-27
SHOT Seagrams VO,3325,64.0,1.40625,90.0,2019-09-27
Locust St Wings FULL,2729,62.0,11.040322580645,684.5,2019-09-27
PINT Stein,3141,61.0,4.0819672131148,249.0,2019-09-27
PIT Miller Lite,3143,58.0,11.0,638.0,2019-09-27
PINT Spotted Cow,3140,58.0,3.9827586206897,231.0,2019-09-27
PINT LKFT Hazy Rabbit,3348,58.0,3.698275862069,214.5,2019-09-27
Skyy Peach BOMB,3367,58.0,2.4137931034483,140.0,2019-09-27
BTL Miller Lite,3391,58.0,2.5775862068966,149.5,2019-09-27
CAN Press Blk/Hyb,3130,56.0,4.2857142857143,240.0,2019-09-27
BTL Miller High Life,3122,53.0,2.3915094339623,126.75,2019-09-27
PINT Moon Man,3349,46.0,3.9130434782609,180.0,2019-09-27
Sriracha Strips,2730,43.0,8.406976744186,361.5,2019-09-27
Cheese Curds,2728,43.0,6.5116279069767,280.0,2019-09-27
GRILLED CHEESE,2734,42.0,4.0595238095238,170.5,2019-09-27
PIT Miller High Life,3142,42.0,11.0,462.0,2019-09-27
PINT Schlitz,3139,41.0,2.7073170731707,111.0,2019-09-27
DBL RAIL Tequila,3461,41.0,5.3780487804878,220.5,2019-09-27
Skyy Cherry BOMB,3370,40.0,3.2,128.0,2019-09-27
PINT Miller Lite,3138,40.0,2.925,117.0,2019-09-27
PINT Beer of the Week,3356,38.0,2.9210526315789,111.0,2019-09-27
DBL RAIL Whiskey,3459,38.0,4.4605263157895,169.5,2019-09-27
CAN PBR 16oz,3129,37.0,4.0,148.0,2019-09-27
SHOT Jameson,3317,37.0,3.5675675675676,132.0,2019-09-27
CAN Coors Light,3116,37.0,4.0,148.0,2019-09-27
PINT Miller High Life,3137,36.0,2.8333333333333,102.0,2019-09-27
SHOT Jagermeister,3234,33.0,4.0,132.0,2019-09-27
CHEESE burger,2841,31.0,7.0806451612903,219.5,2019-09-27
Soda/Juice,3183,30.0,1.5,45.0,2019-09-27
PIT Schlitz,3144,30.0,10.266666666667,308.0,2019-09-27
PIT WATER,3400,29.0,0.0,0.0,2019-09-27
All American Burger,2840,28.0,6.1339285714286,171.75,2019-09-27
RIVERWEST BURGER,2714,28.0,9.375,262.5,2019-09-27
Nachos,2808,28.0,7.0178571428571,196.5,2019-09-27
3 PART COMBO,2831,27.0,12.32037037037,332.65,2019-09-27
Locust St. Wings HALF,2858,27.0,6.0740740740741,164.0,2019-09-27
Bloody Mary,3199,27.0,7.1851851851852,194.0,2019-09-27
DBL RAIL Rum,3457,27.0,4.7037037037037,127.0,2019-09-27
DBL RAIL Gin,3453,26.0,5.1730769230769,134.5,2019-09-27
PINT Angry Orchard,3352,26.0,3.6346153846154,94.5,2019-09-27
DBL Titos,3654,26.0,7.3846153846154,192.0,2019-09-27
WAR Burger,3028,24.0,8.3958333333333,201.5,2019-09-27
Perch FRY,2830,24.0,9.9916666666667,239.8,2019-09-27
PIT Spotted Cow,3145,21.0,15.0,315.0,2019-09-27
PINT Staghorn,3690,20.0,4.35,87.0,2019-09-27
SHOT Cazadores Blanco,3481,20.0,3.8,76.0,2019-09-27
PINT K4 Fantasy Factory,3351,19.0,4.2631578947368,81.0,2019-09-27
SHOT Skyy,3663,19.0,3.0,57.0,2019-09-27
Soft Pretzel Bites,2835,19.0,5.0263157894737,95.5,2019-09-27
HOLY MO!,2839,18.0,10.5,189.0,2019-09-27
PIT Beer of the Week,3362,18.0,11.0,198.0,2019-09-27
Fancy Fries,2878,17.0,5.0294117647059,85.5,2019-09-27
Cheese Curd Burger,2879,17.0,9.7058823529412,165.0,2019-09-27
CAN Press Pom/Gin,3131,17.0,4.1176470588235,70.0,2019-09-27
BTL Corona,3117,16.0,4.5,72.0,2019-09-27
Chix Caeser Wrap,2838,16.0,8.03125,128.5,2019-09-27
Kung Fu Quesadilla,2870,16.0,6.03125,96.5,2019-09-27
Tater Tots,2836,16.0,2.0,32.0,2019-09-27
FISH FRY,2722,16.0,10.2,163.2,2019-09-27
VBALL HI-LIFE,3411,16.0,0.0,0.0,2019-09-27
SHOT RAIL GIN,3454,16.0,2.8125,45.0,2019-09-27
DBL Skyy Ginger,3672,16.0,5.8125,93.0,2019-09-27
VBALL LITE,3410,15.0,0.0,0.0,2019-09-27
HH PINT Abita Wrought Iron,3354,15.0,4.2,63.0,2019-09-27
Mush Swiss Burger,2715,15.0,8.2166666666667,123.25,2019-09-27
French Fries,2731,15.0,2.0,30.0,2019-09-27
Thai Chicken Wrap,2880,15.0,8.2666666666667,124.0,2019-09-27
CAN Press Lime,3132,15.0,5.0,75.0,2019-09-27
BTL Pabst,3126,15.0,3.25,48.75,2019-09-27
BTL Modelo Especial,3124,14.0,4.5,63.0,2019-09-27
SHOT Rumpleminz,3242,14.0,3.1428571428571,44.0,2019-09-27
SHOT Goldschlager,3230,14.0,3.4285714285714,48.0,2019-09-27
COMBO FRY,2736,14.0,11.235714285714,157.3,2019-09-27
DBL Seagrams 7,3594,14.0,7.0,98.0,2019-09-27
DBL RAIL Brandy,3448,13.0,5.0,65.0,2019-09-27
DBL Captain Morgan,3496,13.0,8.0,104.0,2019-09-27
Plain Chicken Strips,2867,13.0,8.1923076923077,106.5,2019-09-27
Spicy Popcorn Shrimp,2864,13.0,6.0384615384615,78.5,2019-09-27
BBQ Pulled Pork,2842,13.0,7.0961538461538,92.25,2019-09-27
Sandwich of the Week,2887,13.0,6.1538461538462,80.0,2019-09-27
BTL Bud Light,3114,12.0,4.5,54.0,2019-09-27
Camel Lights,3247,12.0,10.0,120.0,2019-09-27
DBL Jameson,3538,12.0,7.3333333333333,88.0,2019-09-27
PIT LKFT IPA,3358,11.0,15.0,165.0,2019-09-27
PIT LKFT Hazy Rabbit,3359,11.0,15.0,165.0,2019-09-27
SHOT Dr McGullicuddys,3226,11.0,1.6363636363636,18.0,2019-09-27
Coke,3154,11.0,1.5,16.5,2019-09-27
Jive Turkey,2859,11.0,8.3181818181818,91.5,2019-09-27
Cup SOUP,2872,10.0,2.5,25.0,2019-09-27
Cubano,2716,10.0,8.3,83.0,2019-09-27
House Salad SM,2837,10.0,3.65,36.5,2019-09-27
PIT Stein,3146,10.0,15.0,150.0,2019-09-27
BTL Budweiser,3115,10.0,4.5,45.0,2019-09-27
Skyy Apricot BOMB,3368,10.0,4.0,40.0,2019-09-27
DBL Hennessey,3449,10.0,11.0,110.0,2019-09-27
Coke - Refill,3464,10.0,0.0,0.0,2019-09-27
DBL Makers Mark,3534,10.0,8.0,80.0,2019-09-27
SHOT Ciroc,3637,10.0,2.0,20.0,2019-09-27
DBL Jack Daniels,3526,9.0,8.0,72.0,2019-09-27
DBL Jim Beam,3530,9.0,7.0,63.0,2019-09-27
PIT Moon Man,3357,9.0,15.0,135.0,2019-09-27
BTL MGD,3121,9.0,3.25,29.25,2019-09-27
7-UP,3147,9.0,1.5,13.5,2019-09-27
SIDE RANCH,2815,9.0,0.25,2.25,2019-09-27
Iggy Pop,2860,9.0,9.9444444444444,89.5,2019-09-27
Thurs Burger,2886,8.0,5.9375,47.5,2019-09-27
Monday Special,3032,8.0,6.5625,52.5,2019-09-27
Chili Cheese Poutine,2801,8.0,7.0625,56.5,2019-09-27
OUTSIDE,3253,8.0,0.0,0.0,2019-09-27
Mango Mimosa,3205,8.0,6.0,48.0,2019-09-27
Mimosa,3206,8.0,4.0,32.0,2019-09-27
SHOT Jim Beam,3531,8.0,4.0,32.0,2019-09-27
SHOT RAIL Tequila,3462,8.0,3.0,24.0,2019-09-27
SHOT Fireball,3584,8.0,4.0,32.0,2019-09-27
CAN Apple Press,3695,8.0,4.375,35.0,2019-09-27
Moscow Mule,3207,7.0,7.0,49.0,2019-09-27
Titos,3307,7.0,5.0,35.0,2019-09-27
SHOT Jager Bomb,3274,7.0,5.0,35.0,2019-09-27
CAN N.G. Staghorn,3135,7.0,5.0,35.0,2019-09-27
House Salad LG,2697,7.0,6.5,45.5,2019-09-27
Bowl SOUP,2713,7.0,4.0,28.0,2019-09-27
SIDE Garlic Parm,2877,6.0,0.25,1.5,2019-09-27
Chix Caesar Salad,2871,6.0,8.0833333333333,48.5,2019-09-27
BTL Spaten Lager,3127,6.0,5.0,30.0,2019-09-27
PIT LKFT Oktoberfest,3691,6.0,15.0,90.0,2019-09-27
SHOT Wild Turkey 101,3616,6.0,4.0,24.0,2019-09-27
DBL Cazadores Blanco,3480,6.0,7.0,42.0,2019-09-27
DBL Bacardi,3492,6.0,5.0,30.0,2019-09-27
SHOT Kraken,3501,6.0,2.0,12.0,2019-09-27
SHOT RAIL Brandy,3447,6.0,3.0,18.0,2019-09-27
VBALL SCHLITZ,3412,6.0,0.0,0.0,2019-09-27
HH PINT Guinness,3350,5.0,3.8,19.0,2019-09-27
SHOT Hennessey,3450,5.0,4.0,20.0,2019-09-27
DBL Absolut Citron,3656,5.0,8.0,40.0,2019-09-27
Meyers Dark,3261,5.0,4.0,20.0,2019-09-27
DBL of the WEEK,3251,5.0,5.0,25.0,2019-09-27
PC Perch,2869,5.0,1.0,5.0,2019-09-27
FISH SANDWICH,2737,5.0,6.8,34.0,2019-09-27
SIDE Sm Nacho Chez,2852,4.0,0.75,3.0,2019-09-27
Fancy Tots,2883,4.0,5.125,20.5,2019-09-27
Diet Coke,3158,4.0,1.5,6.0,2019-09-27
Shirley Temple,3182,4.0,1.75,7.0,2019-09-27
BTL ODouls,3125,4.0,3.25,13.0,2019-09-27
Lemonade,3170,4.0,1.5,6.0,2019-09-27
SHOT RAIL Whiskey,3460,4.0,3.0,12.0,2019-09-27
DBL Crown Royal,3528,4.0,8.0,32.0,2019-09-27
SHOT Jose Cuervo,3475,4.0,2.25,9.0,2019-09-27
VBALL Beer of the Week,3413,4.0,0.0,0.0,2019-09-27
VBALL SPOT COW,3415,4.0,4.0,16.0,2019-09-27
VBALL STEIN,3416,4.0,4.0,16.0,2019-09-27
VBALL HAZY RABBIT,3418,3.0,4.0,12.0,2019-09-27
VBALL MOON MAN,3414,3.0,4.0,12.0,2019-09-27
PINT Abita TurboDog,3353,3.0,3.0,9.0,2019-09-27
SHOT Patron XO,3477,3.0,4.0,12.0,2019-09-27
7-Up Refill,3463,3.0,0.0,0.0,2019-09-27
DBL Bombay Sapphire,3486,3.0,8.6666666666667,26.0,2019-09-27
DBL Tanqueray,3488,3.0,8.0,24.0,2019-09-27
DBL Coconut Jack,3498,3.0,6.0,18.0,2019-09-27
DBL Kraken,3500,3.0,8.0,24.0,2019-09-27
DBL Skyy Apricot,3666,3.0,7.0,21.0,2019-09-27
DBL Skyy Raspb,3668,3.0,7.0,21.0,2019-09-27
DBL Amaretto,3560,3.0,7.0,21.0,2019-09-27
Coffee,3153,3.0,1.5,4.5,2019-09-27
CAN Crispin 16oz,3128,3.0,6.0,18.0,2019-09-27
Absolut,3286,3.0,8.0,24.0,2019-09-27
SHOT of the WEEK,3254,3.0,3.0,9.0,2019-09-27
Cup Chili,2873,3.0,2.5,7.5,2019-09-27
BROILED FISH FRY,2813,3.0,9.95,29.85,2019-09-27
Hush Puppies,2809,3.0,6.6666666666667,20.0,2019-09-27
Bowl CHILI,2696,2.0,4.0,8.0,2019-09-27
CHIPS/SALSA,2819,2.0,3.0,6.0,2019-09-27
SIDE HONEY MUSTARD,2751,2.0,0.25,0.5,2019-09-27
SIDE HORSE MAYO,2753,2.0,0.25,0.5,2019-09-27
Club Sub,2733,2.0,7.0,14.0,2019-09-27
Tracks Scramble,3045,2.0,8.0,16.0,2019-09-27
BTL Blue Moon,3113,2.0,4.5,9.0,2019-09-27
BTL Eastside Dark,3118,2.0,5.0,10.0,2019-09-27
Fish Tacos,2851,2.0,6.75,13.5,2019-09-27
SIDE Tartar Sauce,2834,2.0,0.25,0.5,2019-09-27
Bag Snacks,3246,2.0,0.75,1.5,2019-09-27
Mind Eraser,3267,2.0,0.0,0.0,2019-09-27
Red Bull,3175,2.0,3.5,7.0,2019-09-27
Root Beer,3178,2.0,1.5,3.0,2019-09-27
Seltzer,3180,2.0,1.5,3.0,2019-09-27
Sangria,3210,2.0,6.0,12.0,2019-09-27
Brew Crew Margarita,3200,2.0,7.0,14.0,2019-09-27
Black Manhattan,3194,2.0,8.0,16.0,2019-09-27
CAN Press GF/CAR,3133,2.0,5.0,10.0,2019-09-27
Cranberry JC,3156,2.0,1.5,3.0,2019-09-27
DBL Seagrams VO,3578,2.0,7.0,14.0,2019-09-27
DBL Tullamore Dew,3536,2.0,8.0,16.0,2019-09-27
SHOT Bulleit Bourbon,3588,2.0,4.0,8.0,2019-09-27
SHOT Mt. Royal,3614,2.0,3.0,6.0,2019-09-27
DBL Skyy Peach,3664,2.0,7.0,14.0,2019-09-27
DBL Ketel One,3658,2.0,8.0,16.0,2019-09-27
SHOT Skyy Orange,3677,2.0,3.0,6.0,2019-09-27
SHOT Skyy Ginger,3673,2.0,1.5,3.0,2019-09-27
DBL Skyy Cherry,3670,2.0,7.0,14.0,2019-09-27
SHOT Skyy Cherry,3671,2.0,3.0,6.0,2019-09-27
DBL Jack D Honey,3532,2.0,8.0,16.0,2019-09-27
SHOT RAIL Vodka,3456,2.0,3.0,6.0,2019-09-27
Diet Coke - Refill,3465,2.0,0.0,0.0,2019-09-27
Cab/Merlot,3329,2.0,5.0,10.0,2019-09-27
Chardonnay,3331,2.0,5.0,10.0,2019-09-27
Pinot Grigio,3333,2.0,5.0,10.0,2019-09-27
RAIL Vodka,3339,2.0,3.5,7.0,2019-09-27
