Michael 30,The Tracks Tavern and Grill,09/23/2021 12:15:24
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,92.0000,5.2798913043478,485.75
PINT Spotted Cow,3140,,57.0000,3.8421052631579,219
BTL Miller High Life,3122,,56.0000,1.4508928571429,81.25
SHOT Tullamore Dew,3327,,55.0000,3.5636363636364,196
CAN Press GF/CAR,3133,,51.0000,4.8039215686275,245
Skyy Cherry BOMB,3370,,50.0000,3.52,176
Skyy Peach BOMB,3367,,49.0000,3.4285714285714,168
SHOT Seagrams VO,3325,,44.0000,1.9772727272727,87
PINT Stein,3141,,40.0000,3.8375,153.5
PINT LKFT IPA,3136,,39.0000,3.4615384615385,135
SHOT Cazadores Blanco,3481,,37.0000,3.4594594594595,128
PIT Miller Lite,3143,,35.0000,11,385
CAN PBR 16oz,3129,,34.0000,3.5294117647059,120
PINT LKFT Hazy Rabbit,3348,,32.0000,3.421875,109.5
CAN Press Lime,3132,,30.0000,5,150
DBL Titos,3654,,28.0000,8,224
CAN Press Blk/Hyb,3130,,27.0000,5,135
Skyy Raspberry BOMB,3369,,26.0000,2.6153846153846,68
PINT Miller High Life,3137,,25.0000,3,75
CAN Coors Light,3116,,25.0000,3.68,92
DBL RAIL Tequila,3461,,25.0000,4,100
SHOT Cazadores Reposado,3479,,24.0000,3.6666666666667,88
SHOT Fernet,3507,,22.0000,1.8181818181818,40
PIT Spotted Cow,3145,,22.0000,15,330
PIT Schlitz,3144,,20.0000,10.45,209
PIT Miller High Life,3142,,17.0000,11,187
CAN Press Pom/Gin,3131,,17.0000,5,85
PIT LKFT Hazy Rabbit,3359,,17.0000,15,255
BTL Miller Lite,3391,,17.0000,2.4852941176471,42.25
VBALL HI-LIFE,3411,,16.0000,0,0
SHOT Jameson,3317,,16.0000,2.75,44
PIT Stein,3146,,16.0000,15,240
Bloody Mary,3199,,15.0000,7,105
HH PINT Angry Orchard,3352,,15.0000,3.6,54
DBL RAIL Rum,3457,,15.0000,5.1333333333333,77
DBL RAIL Gin,3453,,15.0000,4.1,61.5
PINT Schlitz,3139,,14.0000,3,42
DBL RAIL Whiskey,3459,,13.0000,5.5,71.5
BTL Pabst,3126,,12.0000,1.8958333333333,22.75
RAIL Vodka,3339,,12.0000,3.375,40.5
VBALL LITE,3410,,12.0000,0,0
Skyy Orange BOMB,3372,,12.0000,2.6666666666667,32
PINT Moon Man,3349,,11.0000,3.1363636363636,34.5
PINT Guinness,3350,,11.0000,3,33
SHOT RAIL GIN,3454,,11.0000,1.9090909090909,21
SHOT Hennessey,3450,,10.0000,4,40
DBL Jim Beam,3530,,10.0000,7,70
HH PINT LKFT Oktoberfest,3697,,10.0000,4.2,42
D.E. GF BOMB,3716,,9.0000,4,36
DBL Jack Daniels,3526,,9.0000,7.1111111111111,64
DBL Cazadores Reposado,3478,,9.0000,5.4444444444444,49
BTL Corona,3117,,9.0000,4.5,40.5
SHOT Rumpleminz,3242,,9.0000,4,36
VBALL SCHLITZ,3412,,8.0000,0,0
PIT LKFT Oktoberfest,3691,,8.0000,15,120
DBL Absolut Citron,3656,,7.0000,8,56
DBL Captain Morgan,3496,,7.0000,8,56
VBALL SPOT COW,3415,,7.0000,4,28
PIT Moon Man,3357,,7.0000,15,105
SHOT Lemon Drop,3276,,7.0000,4,28
BTL Spaten Lager,3127,,6.0000,5,30
BTL Modelo Especial,3124,,6.0000,4.5,27
PINT Miller Lite,3138,,6.0000,3,18
PIT LKFT IPA,3358,,6.0000,15,90
Titos,3307,,5.0000,5,25
DBL Hennessey,3449,,5.0000,12.6,63
BTL Blue Moon,3113,,5.0000,4.5,22.5
Absolut,3286,,5.0000,8,40
DBL Cazadores Blanco,3480,,5.0000,5.6,28
DBL Makers Mark,3534,,5.0000,8,40
SHOT Makers Mark,3535,,4.0000,4,16
 SHOT Crown Royal,3529,,4.0000,4,16
SHOT Fireball,3584,,4.0000,4,16
DBL Hendricks Gin,3485,,4.0000,9,36
SHOT Bulleit Bourbon,3588,,4.0000,4,16
DBL Seagrams 7,3594,,4.0000,7,28
DBL Skyy Orange,3676,,4.0000,7,28
House White,3698,,4.0000,4,16
DBL D.E. Grapefruit,3713,,4.0000,0,0
SHOT of the WEEK,3254,,4.0000,0.75,3
VBALL Summer Shandy,3421,,4.0000,4,16
VBALL HAZY RABBIT,3418,,3.0000,4,12
VBALL STEIN,3416,,3.0000,4,12
Skyy Raspberry,3302,,3.0000,1.3333333333333,4
Pinot Grigio,3333,,3.0000,5,15
BTL Bud Light,3114,,3.0000,3,9
3rd Space Frog Weiss,3717,,3.0000,5,15
SHOT Titos,3655,,3.0000,4,12
DBL Bombay Sapphire,3486,,3.0000,8,24
DBL Korbel,3452,,3.0000,6.3333333333333,19
SHOT RAIL Tequila,3462,,3.0000,0,0
DBL Coconut Jack,3498,,3.0000,6,18
SHOT Jack Daniels,3527,,3.0000,1.3333333333333,4
DBL Crown Royal,3528,,2.0000,8,16
SHOT Campari,3549,,2.0000,1.5,3
DBL J. Walker Black,3605,,2.0000,11,22
DBL Skyy Raspb,3668,,2.0000,7,14
SHOT Skyy Raspb,3669,,2.0000,3,6
DBL Skyy Cherry,3670,,2.0000,7,14
CAN Schlitz 16oz,3134,,2.0000,4,8
BTL MGD,3121,,2.0000,3.25,6.5
SHOT Jagermeister,3234,,2.0000,4,8
Chardonnay,3331,,2.0000,5,10
Crown Royal,3312,,2.0000,5,10
Jack Daniels,3315,,2.0000,5,10
VBALL LKFT IPA,3417,,2.0000,4,8
VBALL Angry Orchard,3422,,2.0000,4,8
DBL RAIL Brandy,3448,,2.0000,6.5,13
RAIL Rum,3343,,2.0000,3.5,7
VBALL MOON MAN,3414,,1.0000,4,4
Bulleit Bourbon,3308,,1.0000,5,5
RAIL Whiskey,3340,,1.0000,3.5,3.5
OUTSIDE,3253,,1.0000,0,0
SHOT Car Bomb,3269,,1.0000,6,6
Absolut Citron,3287,,1.0000,5,5
Long Island,3204,,1.0000,8,8
BTL LH Milk Stout,3119,,1.0000,6,6
House Red,3699,,1.0000,4,4
BTL Hop Refresher,3703,,1.0000,4.5,4.5
DBL Kesslers,3710,,1.0000,6,6
Kesslers,3711,,1.0000,4,4
SHOT Wild Turkey 101,3616,,1.0000,4,4
SHOT Skyy Peach,3665,,1.0000,3,3
D.E. Grapefruit,3714,,1.0000,4,4
DBL Bulleit Bourbon,3587,,1.0000,8,8
DBL Tullamore Dew,3536,,1.0000,8,8
SHOT Jack Ds Honey,3533,,1.0000,4,4
DBL Tanqueray,3488,,1.0000,8,8
DBL Bacardi,3492,,1.0000,6,6
SHOT Korbel,3451,,1.0000,0,0
SHOT RAIL Whiskey,3460,,1.0000,3,3
