Michael 30,The Tracks Tavern and Grill,09/23/2021 11:57:20
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
PINT Spotted Cow,3140,,42.0000,3.7142857142857,156
SHOT Cazadores Reposado,3479,,40.0000,3.3,132
SHOT Tullamore Dew,3327,,32.0000,2.375,76
PINT LKFT IPA,3136,,29.0000,4.2931034482759,124.5
PINT Stein,3141,,25.0000,3.66,91.5
SHOT Rumpleminz,3242,,24.0000,3.6666666666667,88
PINT LKFT Hazy Rabbit,3348,,24.0000,4,96
SHOT Jameson,3317,,21.0000,3.2380952380952,68
DBL RAIL Vodka,3455,,21.0000,4.6666666666667,98
PINT Moon Man,3349,,20.0000,1.575,31.5
CAN PBR 16oz,3129,,19.0000,4,76
SHOT Seagrams VO,3325,,18.0000,2.5,45
Skyy Apricot BOMB,3368,,17.0000,2.1176470588235,36
DBL RAIL Whiskey,3459,,14.0000,5.3571428571429,75
SHOT Cazadores Blanco,3481,,14.0000,3.1428571428571,44
SHOT Fernet,3507,,13.0000,1.2307692307692,16
BTL of the Week,3696,,12.0000,3,36
DBL RAIL Gin,3453,,12.0000,3.5416666666667,42.5
PINT Miller High Life,3137,,11.0000,2.7272727272727,30
PIT Spotted Cow,3145,,10.0000,15,150
Skyy Cherry BOMB,3370,,10.0000,2.8,28
DBL Hendricks Gin,3485,,10.0000,9,90
DBL Skyy Ginger,3672,,10.0000,7,70
DBL RAIL Rum,3457,,10.0000,3.35,33.5
DBL Captain Morgan,3496,,8.0000,8,64
DBL RAIL Tequila,3461,,8.0000,4.625,37
BTL Miller Lite,3391,,8.0000,2.4375,19.5
Cocktail of the Week,3250,,8.0000,3.5,28
CAN Press GF/CAR,3133,,7.0000,5,35
DBL Korbel,3452,,7.0000,6.5714285714286,46
Skyy Ginger BOMB,3371,,6.0000,2,12
Long Island,3204,,6.0000,6.6666666666667,40
CAN Coors Light,3116,,6.0000,2,12
BTL Miller High Life,3122,,6.0000,3.25,19.5
DBL Jack Daniels,3526,,6.0000,8,48
DBL Jameson,3538,,6.0000,8,48
SHOT Wild Turkey 101,3616,,6.0000,3.3333333333333,20
SHOT Fireball,3584,,5.0000,4,20
BTL Budweiser,3115,,5.0000,4.5,22.5
PINT Schlitz,3139,,5.0000,3,15
PIT Miller Lite,3143,,5.0000,11,55
DBL of the WEEK,3251,,4.0000,3.75,15
CAN Press Pom/Gin,3131,,4.0000,5,20
BTL Corona,3117,,4.0000,4.5,18
DBL Ketel One,3658,,4.0000,8,32
SHOT Captain Morgan,3497,,4.0000,2,8
DBL Cazadores Reposado,3478,,4.0000,7,28
SHOT Bacardi,3493,,4.0000,3,12
DBL Bacardi Limon,3494,,4.0000,6,24
SHOT Bacardi Limon,3495,,3.0000,3,9
SHOT Jack Daniels,3527,,3.0000,4,12
DBL Skyy Orange,3676,,3.0000,7,21
BTL Pabst,3126,,3.0000,3.25,9.75
BTL Spaten Lager,3127,,3.0000,5,15
PIT Stein,3146,,3.0000,15,45
PIT LKFT IPA,3358,,3.0000,15,45
B n S Special,3409,,3.0000,3.3333333333333,10
Skyy Raspberry BOMB,3369,,3.0000,0,0
HH PINT Angry Orchard,3352,,3.0000,1.5,4.5
Skyy Raspberry,3302,,3.0000,4,12
SHOT Hennessey,3450,,2.0000,5,10
VBALL STEIN,3416,,2.0000,4,8
SHOT Jagermeister,3234,,2.0000,4,8
PIT Schlitz,3144,,2.0000,11,22
OUTSIDE,3253,,2.0000,0,0
SHOT of the WEEK,3254,,2.0000,0,0
Absolut,3286,,2.0000,8,16
BTL Eastside Dark,3118,,2.0000,5,10
BTL MGD,3121,,2.0000,3.25,6.5
BTL Blue Moon,3113,,2.0000,4.5,9
BTL Modelo Especial,3124,,2.0000,4.5,9
DBL Amaretto,3560,,2.0000,7,14
DBL Hazelnut,3568,,1.0000,6,6
DBL Fireball,3583,,1.0000,8,8
DBL Makers Mark,3534,,1.0000,8,8
SHOT Kraken,3501,,1.0000,4,4
DBL Meyers Dark,3504,,1.0000,6,6
DBl Canad. Club,3617,,1.0000,7,7
DBL Absolut Citron,3656,,1.0000,8,8
SHOT Ketel One,3659,,1.0000,4,4
DBL Skyy Apricot,3666,,1.0000,0,0
SHOT Skyy Apricot,3667,,1.0000,3,3
DBL Skyy Raspb,3668,,1.0000,7,7
SHOT Skyy Cherry,3671,,1.0000,3,3
DBL Bulleit Bourbon,3587,,1.0000,8,8
SHOT Bulleit Bourbon,3588,,1.0000,4,4
DBL Bulleit Rye,3589,,1.0000,8,8
DBL South. Comfort,3596,,1.0000,8,8
BTL ODouls,3125,,1.0000,3.25,3.25
CAN Press Blk/Hyb,3130,,1.0000,5,5
CAN Press Lime,3132,,1.0000,5,5
Bag Snacks,3246,,1.0000,0.75,0.75
Captain Morgan,3258,,1.0000,5,5
Meyers Dark,3261,,1.0000,4,4
DBL RAIL Brandy,3448,,1.0000,6.5,6.5
Skyy Orange BOMB,3372,,1.0000,4,4
SHOT RAIL Tequila,3462,,1.0000,3,3
SHOT RAIL Vodka,3456,,1.0000,0,0
DBL Bombay Sapphire,3486,,1.0000,9,9
Bulleit Bourbon,3308,,1.0000,5,5
PINT K4 Fantasy Factory,3351,,1.0000,4.5,4.5
RAIL Whiskey,3340,,1.0000,3.5,3.5
PINT Abita TurboDog,3353,,1.0000,4.5,4.5
VBALL HI-LIFE,3411,,1.0000,0,0
VBALL SPOT COW,3415,,1.0000,4,4
